[-0.32189542483660133,inf)
[-0.2630718954248366,-0.1977124183006536)
[-0.25,-0.2042483660130719)
[-0.23039215686274508,-0.2107843137254902)
[-0.315359477124183,-0.315359477124183)
[-0.315359477124183,-0.315359477124183)
[-0.3088235294117647,-0.3088235294117647)
[-0.3088235294117647,-0.3088235294117647)
[-0.3022875816993464,-0.3022875816993464)
[-0.3022875816993464,-0.3022875816993464)
[-0.2957516339869281,-0.2957516339869281)
[-0.2957516339869281,-0.2957516339869281)
[-0.2957516339869281,-0.2957516339869281)
[-0.28921568627450983,-0.28921568627450983)
[-0.28921568627450983,-0.28921568627450983)
[-0.28921568627450983,-0.28921568627450983)
[-0.28921568627450983,-0.28921568627450983)
[-0.28921568627450983,-0.28921568627450983)
[-0.2826797385620915,-0.2826797385620915)
[-0.2826797385620915,-0.2826797385620915)
[-0.2826797385620915,-0.2826797385620915)
[-0.2826797385620915,-0.2826797385620915)
[-0.2826797385620915,-0.2826797385620915)
[-0.2826797385620915,-0.2826797385620915)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2761437908496732,-0.2761437908496732)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2696078431372549,-0.2696078431372549)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2630718954248366,-0.2630718954248366)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.2565359477124183,-0.2565359477124183)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.25,-0.25)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
[-0.2434640522875817,-0.2434640522875817)
