[-0.2848005462893133,inf)
[-0.050717905503576334,inf)
[-0.048116987272623694,inf)
[-0.23538309990121323,-0.0403142325797658)
[-0.2093739175916869,-0.07152525135119739)
[-0.17816289882025532,-0.048116987272623694)
[-0.14955279827977633,-0.1287454524321553)
[-0.10013535189167636,-0.08192892427500792)
[-0.13654820712501323,-0.1209426977392974)
[-0.1677592258964448,-0.15475463474168163)
[-0.027309641425002647,-0.016905968501192113)
[0.1859656535131132,0.19376840820597113)
[-0.08973167896786584,-0.08192892427500792)
[-0.17296106235835007,-0.16515830766549217)
[-0.13914912535596585,-0.13134637066310795)
[-0.12874545243215532,-0.12094269773929742)
[-0.09493351542977108,-0.08713076073691317)
[-0.0793280060440553,-0.07152525135119739)
[0.24578677282502376,0.25358952751788166)
[0.26139228221073957,0.2691950369035975)
[0.0039013773464289456,0.011704132039286847)
[-0.037713314348813164,-0.029910559655955272)
[-0.02730964142500264,-0.01950688673214475)
[0.07672708781310265,0.08452984250596055)
[-0.1755619805893027,-0.17036014412739742)
[-0.024708723194050004,-0.019506886732144738)
[0.022107804963097374,0.02730964142500264)
[0.329016156215508,0.33421799267741326)
[0.029910559655955283,0.03511239611786053)
[-0.279598709827408,-0.2769977915964553)
[-0.2743968733655027,-0.27179595513455007)
[-0.2691950369035974,-0.26659411867264476)
[0.250988609286929,0.25358952751788166)
[-0.037713314348813184,-0.03511239611786054)
[-0.009103213808334213,-0.006502295577381582)
[-0.19636932643692376,-0.19376840820597113)
[-0.17036014412739742,-0.1677592258964448)
[-0.1677592258964448,-0.16515830766549217)
[-0.1625573894345395,-0.1599564712035869)
[-0.15735555297263426,-0.15475463474168163)
[-0.08973167896786581,-0.08713076073691318)
[-0.28219962805836063,-0.28219962805836063)
[-0.279598709827408,-0.279598709827408)
[-0.2769977915964554,-0.2769977915964554)
[-0.2769977915964553,-0.2769977915964553)
[-0.2743968733655027,-0.2743968733655027)
[-0.2743968733655027,-0.2743968733655027)
[-0.27179595513455007,-0.27179595513455007)
[-0.27179595513455007,-0.27179595513455007)
[-0.27179595513455007,-0.27179595513455007)
[-0.2691950369035975,-0.2691950369035975)
[-0.2691950369035975,-0.2691950369035975)
[-0.2691950369035974,-0.2691950369035974)
[-0.2665941186726448,-0.2665941186726448)
[-0.2665941186726448,-0.2665941186726448)
[-0.2665941186726448,-0.2665941186726448)
[-0.26659411867264476,-0.26659411867264476)
[-0.2639932004416922,-0.2639932004416922)
[-0.26399320044169217,-0.26399320044169217)
[-0.26399320044169217,-0.26399320044169217)
[-0.26139228221073957,-0.26139228221073957)
[-0.26139228221073957,-0.26139228221073957)
[-0.2613922822107395,-0.2613922822107395)
[-0.2587913639797869,-0.2587913639797869)
[-0.2587913639797869,-0.2587913639797869)
[-0.2587913639797869,-0.2587913639797869)
[-0.2587913639797869,-0.2587913639797869)
[-0.2561904457488343,-0.2561904457488343)
[-0.25619044574883426,-0.25619044574883426)
[-0.25619044574883426,-0.25619044574883426)
[-0.25619044574883426,-0.25619044574883426)
[-0.25358952751788166,-0.25358952751788166)
[-0.25358952751788166,-0.25358952751788166)
[-0.25358952751788166,-0.25358952751788166)
[-0.25358952751788166,-0.25358952751788166)
[-0.250988609286929,-0.250988609286929)
[-0.250988609286929,-0.250988609286929)
[-0.250988609286929,-0.250988609286929)
[-0.24838769105597638,-0.24838769105597638)
[-0.24838769105597638,-0.24838769105597638)
[-0.24838769105597638,-0.24838769105597638)
[-0.24838769105597636,-0.24838769105597636)
[-0.24578677282502376,-0.24578677282502376)
[-0.24578677282502376,-0.24578677282502376)
[-0.24578677282502376,-0.24578677282502376)
[-0.24578677282502373,-0.24578677282502373)
[-0.24318585459407116,-0.24318585459407116)
[-0.24318585459407116,-0.24318585459407116)
[-0.2431858545940711,-0.2431858545940711)
[-0.24318585459407108,-0.24318585459407108)
[-0.24058493636311853,-0.24058493636311853)
[-0.24058493636311848,-0.24058493636311848)
[-0.24058493636311848,-0.24058493636311848)
[-0.24058493636311848,-0.24058493636311848)
[-0.24058493636311845,-0.24058493636311845)
[-0.23798401813216585,-0.23798401813216585)
[-0.23798401813216585,-0.23798401813216585)
[-0.23798401813216585,-0.23798401813216585)
[-0.23798401813216583,-0.23798401813216583)
[-0.23538309990121323,-0.23538309990121323)
[-0.2353830999012132,-0.2353830999012132)
[-0.2353830999012132,-0.2353830999012132)
[-0.2353830999012132,-0.2353830999012132)
[-0.23278218167026057,-0.23278218167026057)
[-0.23278218167026057,-0.23278218167026057)
[-0.23278218167026057,-0.23278218167026057)
[-0.23278218167026057,-0.23278218167026057)
[-0.23278218167026057,-0.23278218167026057)
[-0.23018126343930795,-0.23018126343930795)
[-0.23018126343930795,-0.23018126343930795)
[-0.23018126343930795,-0.23018126343930795)
[-0.23018126343930795,-0.23018126343930795)
[-0.22758034520835532,-0.22758034520835532)
[-0.22758034520835532,-0.22758034520835532)
[-0.22758034520835532,-0.22758034520835532)
[-0.22758034520835532,-0.22758034520835532)
[-0.2249794269774027,-0.2249794269774027)
[-0.2249794269774027,-0.2249794269774027)
[-0.2249794269774027,-0.2249794269774027)
[-0.2249794269774027,-0.2249794269774027)
[-0.2249794269774027,-0.2249794269774027)
[-0.22237850874645007,-0.22237850874645007)
[-0.22237850874645007,-0.22237850874645007)
[-0.22237850874645007,-0.22237850874645007)
[-0.22237850874645004,-0.22237850874645004)
[-0.21977759051549745,-0.21977759051549745)
[-0.21977759051549745,-0.21977759051549745)
[-0.21977759051549745,-0.21977759051549745)
[-0.21977759051549742,-0.21977759051549742)
[-0.21717667228454482,-0.21717667228454482)
[-0.2171766722845448,-0.2171766722845448)
[-0.2171766722845448,-0.2171766722845448)
[-0.2171766722845448,-0.2171766722845448)
[-0.21457575405359217,-0.21457575405359217)
[-0.21457575405359217,-0.21457575405359217)
[-0.21457575405359217,-0.21457575405359217)
[-0.21457575405359217,-0.21457575405359217)
[-0.21457575405359214,-0.21457575405359214)
[-0.21197483582263954,-0.21197483582263954)
[-0.2119748358226395,-0.2119748358226395)
[-0.2119748358226395,-0.2119748358226395)
